codon_number,codon,relative_frequency,gc_percentage
2,ATT,0.4696132596685083,0.0
2,ATC,0.287292817679558,33.333333333333336
2,ATA,0.2430939226519337,0.0
3,ATC,0.2644628099173554,33.333333333333336
3,ATT,0.6198347107438017,0.0
3,ATA,0.11570247933884298,0.0
4,ATA,0.1532258064516129,0.0
4,ATC,0.2540322580645161,33.333333333333336
4,ATT,0.592741935483871,0.0
5,ATA,0.0979381443298969,0.0
5,ATC,0.29381443298969073,33.333333333333336
5,ATT,0.6082474226804123,0.0
6,ATT,0.5771428571428572,0.0
6,ATC,0.2571428571428571,33.333333333333336
6,ATA,0.1657142857142857,0.0
7,ATA,0.14383561643835616,0.0
7,ATC,0.2191780821917808,33.333333333333336
7,ATT,0.636986301369863,0.0
8,ATA,0.13286713286713286,0.0
8,ATC,0.2867132867132867,33.333333333333336
8,ATT,0.5804195804195804,0.0
9,ATT,0.6513157894736842,0.0
9,ATA,0.10526315789473684,0.0
9,ATC,0.24342105263157895,33.333333333333336
10,ATA,0.16058394160583941,0.0
10,ATC,0.18248175182481752,33.333333333333336
10,ATT,0.656934306569343,0.0
11,ATA,0.09420289855072464,0.0
11,ATT,0.6304347826086957,0.0
11,ATC,0.2753623188405797,33.333333333333336
12,ATA,0.087248322147651,0.0
12,ATC,0.2751677852348993,33.333333333333336
12,ATT,0.6375838926174496,0.0
13,ATA,0.09090909090909091,0.0
13,ATT,0.6446280991735537,0.0
13,ATC,0.2644628099173554,33.333333333333336
14,ATA,0.15151515151515152,0.0
14,ATC,0.23484848484848486,33.333333333333336
14,ATT,0.6136363636363636,0.0
15,ATA,0.11450381679389313,0.0
15,ATC,0.33587786259541985,33.333333333333336
15,ATT,0.549618320610687,0.0
16,ATC,0.30434782608695654,33.333333333333336
16,ATT,0.5507246376811594,0.0
16,ATA,0.14492753623188406,0.0
17,ATA,0.07534246575342465,0.0
17,ATC,0.2808219178082192,33.333333333333336
17,ATT,0.6438356164383562,0.0
18,ATA,0.12389380530973451,0.0
18,ATC,0.22123893805309736,33.333333333333336
18,ATT,0.6548672566371682,0.0
19,ATA,0.1388888888888889,0.0
19,ATC,0.3425925925925926,33.333333333333336
19,ATT,0.5185185185185185,0.0
20,ATA,0.10526315789473684,0.0
20,ATC,0.2894736842105263,33.333333333333336
20,ATT,0.6052631578947368,0.0
21,ATA,0.11764705882352941,0.0
21,ATT,0.5378151260504201,0.0
21,ATC,0.3445378151260504,33.333333333333336
22,ATA,0.13793103448275862,0.0
22,ATC,0.25862068965517243,33.333333333333336
22,ATT,0.603448275862069,0.0
23,ATC,0.22522522522522523,33.333333333333336
23,ATA,0.13513513513513514,0.0
23,ATT,0.6396396396396397,0.0
24,ATA,0.14130434782608695,0.0
24,ATC,0.29347826086956524,33.333333333333336
24,ATT,0.5652173913043478,0.0
25,ATA,0.10909090909090909,0.0
25,ATC,0.23636363636363636,33.333333333333336
25,ATT,0.6545454545454545,0.0
26,ATT,0.6702127659574468,0.0
26,ATA,0.1276595744680851,0.0
26,ATC,0.20212765957446807,33.333333333333336
27,ATT,0.58,0.0
27,ATA,0.19,0.0
27,ATC,0.23,33.333333333333336
28,ATT,0.6141732283464567,0.0
28,ATC,0.2283464566929134,33.333333333333336
28,ATA,0.15748031496062992,0.0
29,ATC,0.27586206896551724,33.333333333333336
29,ATA,0.19827586206896552,0.0
29,ATT,0.5258620689655172,0.0
30,ATA,0.14018691588785046,0.0
30,ATC,0.308411214953271,33.333333333333336
30,ATT,0.5514018691588785,0.0
31,ATA,0.17708333333333334,0.0
31,ATC,0.23958333333333334,33.333333333333336
31,ATT,0.5833333333333334,0.0
32,ATC,0.29523809523809524,33.333333333333336
32,ATA,0.23809523809523808,0.0
32,ATT,0.4666666666666667,0.0
33,ATA,0.16842105263157894,0.0
33,ATC,0.25263157894736843,33.333333333333336
33,ATT,0.5789473684210527,0.0
34,ATA,0.1981981981981982,0.0
34,ATC,0.22522522522522523,33.333333333333336
34,ATT,0.5765765765765766,0.0
35,ATT,0.4897959183673469,0.0
35,ATA,0.20408163265306123,0.0
35,ATC,0.30612244897959184,33.333333333333336
36,ATA,0.18811881188118812,0.0
36,ATT,0.594059405940594,0.0
36,ATC,0.21782178217821782,33.333333333333336
37,ATT,0.5647058823529412,0.0
37,ATC,0.3176470588235294,33.333333333333336
37,ATA,0.11764705882352941,0.0
38,ATT,0.57,0.0
38,ATC,0.26,33.333333333333336
38,ATA,0.17,0.0
39,ATT,0.5384615384615384,0.0
39,ATC,0.31868131868131866,33.333333333333336
39,ATA,0.14285714285714285,0.0
40,ATT,0.6428571428571429,0.0
40,ATC,0.2857142857142857,33.333333333333336
40,ATA,0.07142857142857142,0.0
