EC_protein,EC_accession,SE_protein,SE_accession
alpha-amylase,b3571,alpha-amylase,STM3664
alpha-amylase,b1927,alpha-amylase,STM3664
&alpha;-D-glucose-1-phosphate phosphatase YihX,b3885,glucose-1-phosphatase,STM4026
&alpha;-D-xyloside xylohydrolase,b3656,putative alpha-xylosidase,STM3749
&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,b3126,2-dehydro-3-deoxyglucarate aldolase,STM3249
&alpha;-galactosidase,b4119,alpha-galactosidase,STM4298
&alpha;-ketoglutarate:H<sup>+</sup> symporter,b2587,MFS family alpha-ketoglutarate permease,STM2654
&alpha;<sub>2</sub>-macroglobulin,b2520,,
&beta; sliding clamp,b3701,DNA polymerase III subunit beta,STM3837
&beta;-<i>N</i>-acetylglucosaminidase,b1107,beta-N-acetylhexosaminidase,STM1209
&beta;-barrel assembly-enhancing protease,b2494,Beta-barrel assembly-enhancing protease,STM2494
"&beta;-D-glucoside glucohydrolase, periplasmic",b2132,beta-glucosidase,STM2166
&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase,b0954,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,STM0227
&gamma;-aminobutyraldehyde dehydrogenase,b1444,putative aldehyde dehydrogenase,STM1597
&gamma;-butyrobetainyl-CoA:carnitine CoA transferase,b0038,L-carnitine CoA-transferase,STM0072
&gamma;-glutamylamine cyclotransferase family protein YtfP,b4222,gamma-glutamylcyclotransferase,STM4411
&gamma;-glutamylputrescine oxidase,b1301,,
"(4<i>S</i>)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase",b1518,"(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase",
(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),b2515,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,STM2523
(S)-ureidoglycine aminohydrolase,b0515,(S)-ureidoglycine aminohydrolase,STM0526
"1,4-alpha-glucan branching enzyme",b3432,"1,4-alpha-glucan branching enzyme",STM3538
"1,4-dihydroxy-2-naphthoate octaprenyltransferase",b3930,"1,4-dihydroxy-2-naphthoate polyprenyltransferase",STM4090
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",b1686,,
"1,4-dihydroxy-2-naphthoyl-CoA synthase",b2262,"1,4-dihydroxy-2-naphthoyl-CoA synthase",STM2307
"1,6-anhydro-<i>N</i>-acetylmuramoyl-L-alanine amidase",b0110,N-acetylmuramoyl-L-alanine amidase,STM0146
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,b2024,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase,STM2076
1-acylglycerol-3-phosphate <i>O</i>-acyltransferase PlsC,b3018,1-acylglycerol-3-phosphate O-acyltransferase,STM3173
1-acylglycerol-3-phosphate <i>O</i>-acyltransferase YihG,b3862,acyltransferase,STM3998
1-deoxy-D-xylulose 5-phosphate reductoisomerase,b0173,1-deoxy-D-xylulose-5-phosphate reductoisomerase,STM0220
1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase,b3991,thiazole synthase,STM4160
1-deoxy-D-xylulose-5-phosphate synthase,b0420,1-deoxy-D-xylulose-5-phosphate synthase,STM0422
1-deoxyxylulose-5-phosphate synthase YajO,b0419,oxidoreductase,STM0421
1-phosphofructokinase,b2168,1-phosphofructokinase,STM3254
10-formyltetrahydrofolate:L-methionyl-tRNA<sup>fMet</sup> <i>N</i>-formyltransferase,b3288,methionyl-tRNA formyltransferase,STM3407
16S rRNA (A<sup>1518</sup>/A<sup>1519</sup>-<em>N</em><sup>6</sup>-dimethyltransferase,b0051,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase,STM0090
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,b3146,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,STM3263
16S rRNA m<sup>2</sup>G1207 methyltransferase,b4371,16S rRNA (guanine(1207)-N(2))-methyltransferase,STM4556
16S rRNA m<sup>2</sup>G1516 methyltransferase,b3497,16S rRNA (guanine(1516)-N(2))-methyltransferase,STM3593
16S rRNA m<sup>2</sup>G966 methyltransferase,b3465,16S rRNA (guanine(966)-N(2))-methyltransferase,STM3572
16S rRNA m<sup>3</sup>U1498 methyltransferase,b2946,ribosomal RNA small subunit methyltransferase E,STM3094
16S rRNA m<sup>4</sup>C1402 methyltransferase,b0082,16S rRNA (cytosine(1402)-N(4))-methyltransferase,STM0120
16S rRNA m<sup>5</sup>C1407 methyltransferase,b1835,16S rRNA (cytosine(1407)-C(5))-methyltransferase,STM1850
16S rRNA m<sup>5</sup>C967 methyltransferase,b3289,16S rRNA (cytosine(967)-C(5))-methyltransferase,STM3408
16S rRNA m<sup>7</sup>G527 methyltransferase,b3740,16S rRNA (guanine(527)-N(7))-methyltransferase,STM3873
16S rRNA pseudouridine<sup>516</sup> synthase,b2183,16S rRNA pseudouridine(516) synthase,STM2222
"2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase",b4213,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",STM4403
"2'-<i>O</i>-acetyl-ADP-ribose deacetylase, regulator of RNase III activity",b1045,,
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",b0755,phosphoglyceromutase,STM0772
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",b3612,,
"2,3-diaminopropionate ammonia-lyase",b2871,,
"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",b0596,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",STM0598
