codon_number,codon,relative_frequency,gc_percentage
2,TAT,0.551440329218107,0.0
2,TAC,0.448559670781893,33.333333333333336
3,TAT,0.6485148514851485,0.0
3,TAC,0.35148514851485146,33.333333333333336
4,TAT,0.6528925619834711,0.0
4,TAC,0.34710743801652894,33.333333333333336
5,TAT,0.6360424028268551,0.0
5,TAC,0.36395759717314485,33.333333333333336
6,TAT,0.6859903381642513,0.0
6,TAC,0.3140096618357488,33.333333333333336
7,TAT,0.5959595959595959,0.0
7,TAC,0.40404040404040403,33.333333333333336
8,TAT,0.6826347305389222,0.0
8,TAC,0.31736526946107785,33.333333333333336
9,TAT,0.625,0.0
9,TAC,0.375,33.333333333333336
10,TAC,0.32222222222222224,33.333333333333336
10,TAT,0.6777777777777778,0.0
11,TAT,0.631578947368421,0.0
11,TAC,0.3684210526315789,33.333333333333336
12,TAT,0.7011494252873564,0.0
12,TAC,0.2988505747126437,33.333333333333336
13,TAT,0.6318681318681318,0.0
13,TAC,0.36813186813186816,33.333333333333336
14,TAT,0.593939393939394,0.0
14,TAC,0.40606060606060607,33.333333333333336
15,TAC,0.2929936305732484,33.333333333333336
15,TAT,0.7070063694267515,0.0
16,TAC,0.46551724137931033,33.333333333333336
16,TAT,0.5344827586206896,0.0
17,TAC,0.3105590062111801,33.333333333333336
17,TAT,0.6894409937888198,0.0
18,TAC,0.3548387096774194,33.333333333333336
18,TAT,0.6451612903225806,0.0
19,TAC,0.3051948051948052,33.333333333333336
19,TAT,0.6948051948051948,0.0
20,TAT,0.6524822695035462,0.0
20,TAC,0.3475177304964539,33.333333333333336
21,TAT,0.6546762589928058,0.0
21,TAC,0.34532374100719426,33.333333333333336
22,TAT,0.6625,0.0
22,TAC,0.3375,33.333333333333336
23,TAC,0.2808988764044944,33.333333333333336
23,TAT,0.7191011235955056,0.0
24,TAT,0.7222222222222222,0.0
24,TAC,0.2777777777777778,33.333333333333336
25,TAT,0.6413793103448275,0.0
25,TAC,0.3586206896551724,33.333333333333336
26,TAC,0.3961038961038961,33.333333333333336
26,TAT,0.6038961038961039,0.0
27,TAC,0.3660130718954248,33.333333333333336
27,TAT,0.6339869281045751,0.0
28,TAC,0.3728813559322034,33.333333333333336
28,TAT,0.6271186440677966,0.0
29,TAC,0.3271604938271605,33.333333333333336
29,TAT,0.6728395061728395,0.0
30,TAC,0.3790849673202614,33.333333333333336
30,TAT,0.6209150326797386,0.0
31,TAC,0.35428571428571426,33.333333333333336
31,TAT,0.6457142857142857,0.0
32,TAT,0.6496815286624203,0.0
32,TAC,0.3503184713375796,33.333333333333336
33,TAC,0.3563218390804598,33.333333333333336
33,TAT,0.6436781609195402,0.0
34,TAC,0.3898305084745763,33.333333333333336
34,TAT,0.6101694915254238,0.0
35,TAC,0.35294117647058826,33.333333333333336
35,TAT,0.6470588235294118,0.0
36,TAC,0.40963855421686746,33.333333333333336
36,TAT,0.5903614457831325,0.0
37,TAT,0.7294117647058823,0.0
37,TAC,0.27058823529411763,33.333333333333336
38,TAT,0.6294117647058823,0.0
38,TAC,0.37058823529411766,33.333333333333336
39,TAT,0.6709677419354839,0.0
39,TAC,0.32903225806451614,33.333333333333336
40,TAC,0.38686131386861317,33.333333333333336
40,TAT,0.6131386861313869,0.0
